user,Text
arconowen,"RT @empujandochile: Por qué modificaron la fase 2?
Los estudiantes no deben asistir, con mayor razón si hoy existe aumento  de contagios.
T…"
bondyreva66,"RT @GazetaRu: Количество заболевших неизвестной болезнью в Индии достигло 848 человек.

https://t.co/M1xtdKzp3K https://t.co/5D51IEQqoq"
MaChiJune1993,"@notobsidiian every fcking day, on every damn social media

you just can't escape it

tweeter, Instagram, facebook… https://t.co/oFnLJbORiU"
Gabrieela_Rs,Pinche servicio social ogt
Ellanyaa,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
KatyMontgomerie,@ThaneSagarQs Well they're right that being a lesbian is 100% as much a social contagion as being trans. As in not at all
smartz118,"@TomCottonAR We use Social Security and Medicare, which are pretty darn socialist in nature. As for Marxism...who cares about that?"
JohnHewlin,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
mme_diva,@ossoff What about certain fields? I'm a social worker and I'm still paying after returning to school when my child… https://t.co/57j48v03p6
Abe05692299,"RT @wannursyakira2: CERITA LISA DAN RAHSIANYA.

Saya terjumpa social story yang boleh membantu kanak-kanak memahami tentang sentuhan selama…"
maddsmay,RT @MichiganHHS: MDHHS has extended by 12 days the epidemic order that restricts indoor social gatherings and other group activities. The a…
NeMillz,"RT @pokahunnit: “Nobody wants you on their college campus“

-Founder of Poka’s Practice 
-Dean list 3x
-RA
-Student Teacher 
-Peer Mentor…"
AdalgisaRodri16,RT @Karaoke_God: 'The people have spoken': Federal judge rejects ex-Trump attorney Sidney Powell's Michigan election lawsuit https://t.co/D…
meninist_co,"Social media influencers, normalize not jumping on every trending topic. Thank you!"
TheresaDVdl,@suee79 You'd almost rather him be an asshole then you could just tell him to piss off and not give it a second tho… https://t.co/gjubYC37bo
miceli_lu,"#GovernoDetrator Serviços públicos não podem virar fonte de lucro para empresários, pois consistem em
direitos fund… https://t.co/tBiNXxYJCR"
DaveML01,"RT @NuNotebooks: 12 Days of Christmas Giveaways 🎁 Day 1 🎁
Win a nu: Journal Linen Notebook in the colour of your choice- just RT, LIKE and…"
raveven,"my social media is so fake because i am soo probably the person least comfy w gender i am so , horrible to myself b… https://t.co/UoN37xAFPv"
Lucinha30976444,RT @CarlosBolsonaro: Há clara linha de ação de fulan(x)s nas futuras eleições: incentivo ao “não voto”.  Soma-se com narrativa da mídia e n…
Fried49G,RT @HuffPostPol: New Jersey Gov. Phil Murphy called Rep. Matt Gaetz (R-Fla.) a “fool” for participating in the New York Young Republican Cl…
phxgreenteam,"Check out ""Jonathan Scott's Power Trip- A Screening and Conversation"" https://t.co/7AbXgzRNlF @Eventbrite"
CardRedeemer,RT @LiegeoisCathy: @realDonaldTrump No masks. No social distancing.  No regard for human lives.  #TrumpDeathToll282k #TyphoidTrump #TrumpKi…
zukogotico,sera que um dia vou conseguir fazer amizade nessa rede social
Mardigroan,RT @iSmashFizzle: somebody told me not to get the COVID 19 vaccine because that’s how the government gets your social security number. http…
thar_mike,"RT @MadWorldNews: Family Dollar Puts Sign With ‘Racist’ Request In Window, Outrage Ensues https://t.co/S1eGV6Npip #Social #Racism #Sign"
InfoNativaOk,"#Opinion Josep Burgaya analiza los insostenibles niveles de desigualdad económica y social que desnudó la pandemia.

https://t.co/i32VVwqd8G"
leonivanovichok,"RT @SerranoIsmael: Querid@s amig@s argentin@s:
Perdonadme si me pongo en plan Pepito Grillo. Estoy viendo por redes sociales reuniones vari…"
CathyGreiner,"Join Dynatrace, Anexinet &amp; mixologist Jason Suss on December 16th at 3:30 PM as we showcase the right ingredients f… https://t.co/bRxxGzthoR"
prattcitysavage,RT @isaiah_hawk: If I ever get famous I gotta delete all my social media because y’all don’t play 😂😂
ClarkeHamel,"""#Neoliberals, at the top, are still very much part of a ruling class that’s crushing poor people, that’s crushing… https://t.co/dstqU2x5cL"
gaslightingus2,RT @SSWorks: The Trump Administration is waging a stealth war on people with disabilities from inside the Social Security Administration: h…
RealJustingSays,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
esmuellerthier,"RT @olaf@bachgau.social
lars 

ich verstehe das nicht, aber viel meiner Kollegen*innen fällt auch sofort die Decke… https://t.co/TTYAVZrqR3"
rodjnaquin,"“Learn about why adding cold cream to your coffee keeps it hotter longer, why social identity can make people distr… https://t.co/ERFHi0V3V0"
jjjariza,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
Politriks1,"@SexoGratweeto Eu n curto de social democracia.

Que tens tu a favor? 😎"
LunaticMe23,"RT @modooborahae: One of the back dancers said it was below freezing temperatures when they filmed w/ 200 people including performers, arti…"
marvin18586956,RT @ve_cne: El Poder Electoral se reunió con representantes de las seis ONG que participan en este proceso electoral como veedores nacional…
wudzee0,"Well said Adam. Any response @CambridgeCops? 
Peel’s Principle should guide all policing. Including social media po… https://t.co/tq9UF7R7z7"
marty_hoag,"2/  ...On economic issues, by contrast, they tend to back Dem positions: higher minimum wage, expanded govt health… https://t.co/Dn9SOHpDgg"
SireWilliamN,RT @ashleyn1cole: Sometimes it’s hard being so isolated from friends and family. But then I see a pic on social of someone partying or trav…
plutoworId,bts gain mutuals ifb fb taekook jikook vmin au social media au gc twice jeongyeon jungkook jimin taehyung namjoon h… https://t.co/EkhQV4pEtS
RicoGennero,@Rockets_Social Its a bad time for us
usesquire18,RT @SenatorDurbin: Trump judicial nominee Stephen Schwartz is yet another extreme &amp; underqualified ideologue the Senate is considering this…
xKiryaShin,"RT @catneylang: They arent social distancing, but the joestar radio episode has once again inspired me https://t.co/1zuMg97bzK"
tegangeorge,@MikeCarlton01 I respectfully disagree - most stipulate where the photographs come from and it is not up to a journ… https://t.co/YJyVY2RVHg
social_assasin9,"@LakerGMC There’s no question he was winning with the team. But it was a ready made situation with kyrie, wiggins (… https://t.co/QvZkzms1Yv"
gatshXolani,"1/Outside social constructs, political correctness n bigotry, human beings can be imaginative, audacious n creative… https://t.co/C1WHchLcKH"
EdwBallesteros,"No será tendencia pero sí evidencia del gran trabajo social y de apoyo que realizan nuestros verdaderos #Héroes, lo… https://t.co/xxO2Lvs1fy"
greeneyes7997,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
Graciel41973254,"@sumajes07308123 Mi nombre es Graciela, pero me llaman Grace
Psicóloga Social, administro propiedades. Madre 24x24… https://t.co/Mwdkkbq3uK"
LoriMarini70,Happy 75th bday #BaskinRobbins! Celebrate by sharing your favorite BR memories in the comments of @baskinrobbins so… https://t.co/3SaLkEVRh5
bredashyaka2,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
BriannaMcKelleb,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
Divorziata,"Ali Bennaceur: ""No vi la mano de Maradona, pero contribuí al gol del siglo"" https://t.co/kJvjHIsiAt via @Yahoo"
Omer_Sayz,RT @NawazSharifMNS: Nawaz Sharif's address to PMLN Social Media Convention https://t.co/ndQDjubVzq
facurupnik,RT @MiltonFriedom5: La izquierda defendiendo la acumulación y la desigualdad social. QBSLC.
AaronPannell2,@_justinitiative @NoobyDylan @EscherZen He must be a boomer that doesnt understand how social media works
Emmahnyrah,RT @MailOnline: Last month was the world's HOTTEST November on record https://t.co/GX78C25QzR
jonah_o_,@benson_tadhg RADICAL SOCIAL DEMOCRACY
smarick,"Tomorrow at 12pm ET, I'm interviewing @SenMikeLee about social capital and associational life. Then… https://t.co/16xBc7hJNP"
MeganAddae,Chaley we for win this election oo.. Nbs work we do oo herhh from social media to social media.. Door to door.. Cha… https://t.co/iI9Ou5FbIH
johedgallardo,"RT @connection53: Para acceso y provisión de cuidado médico, educación y vivienda: Arauz.

Para propiciar producción, empleo y salario dign…"
Lawal990000,RT @DailyMail: Woman who says she felt 'cheated' after her husband died alone at hospital from COVID-19 discovers an unsent text on his pho…
minijan14,"RT @MSVEnLinea: 🔴#MSVEnLinea || Protección social || Escaneo del @CarnetDLaPatria: 

➡️Mención @MSVEnLinea
➡️Nombre.
➡️Cédula o QR
➡️De don…"
_jessemichael_,RT @housewifegifs: Me watching everyone gather in large groups on social media over the holidays while I'm sitting at home alone https://t.…
sandramecanica,RT @MXvsCORRUPCION: #Entérate: Visitamos los 20 municipios más pobres de Chiapas y encontramos que 45% de las niñas y niños que eran benefi…
JeanneMarie1231,"RT @DCSBST: Playing the ""Manners"" game today in Social Skills...great interactions between students and @MistyLiberty10 !
@DCS_TN @DCSTNspe…"
Sprayvo,"RT @carapanarana: - não pode fazer isolamento social adequado 
- não tem rastreamento de contatos
- não pode usar máscara 
- e, agora não p…"
amerefoficial,"La salud es primero, y por eso la Posada de la Industria se pospone al 2021, pero la ayuda social no puede esperar,… https://t.co/RJsIVixb7f"
tiffalejandra,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
Luluvedu,"RT @marianoosorio1: Ahora entiendo, fué por responsabilidad social  jajajajajaja. 
¡A lo que sigue Pipiolada!
#PiensaPositivo https://t.co/…"
AlstonCeleste,RT @HuffPost: New Jersey Gov. Phil Murphy called Rep. Matt Gaetz (R-Fla.) a “fool” for participating in the New York Young Republican Club’…
pmeiltonyahooco,"RT @donwinslow: I just this great ad on @CNN !

Help spread it across social media."
life_as_karla,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
TomThumb236,Former executive VP of Trump Org. thinks Trump will leave the country before Biden inauguration https://t.co/8prghndS3t via @Yahoo
da_pacho,@FibonacciJuan @BaksLive Con su amigo: “convención social”
VazquezEstela1,"RT @AgrupCiudadana: En este gobierno todo es fachada, para la foto, y el Ministerio de Salud no es la excepción, tiene el nombre pero le re…"
JanOByrne,RT @WYP_PCSO283: I’ve been in my role just short of 2 years and today was the 3rd time I’ve had to assist as social services took a newborn…
lopeznatalie__,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
CB2Reality,RT @brittlestar: HOW TO SPEND LESS TIME FIGHTING IDIOTS ON SOCIAL MEDIA https://t.co/HSEUa3mXiH
its_jadababy,If you’re gonna be in your feelings all day over social media post honestly just don’t have one. Why tf y’all put y… https://t.co/zCOV7pjxMT
Nieves_Danica,"Me gusta creer que no quiero dejar de ver al paciente como lo que es: un sujeto integral. 
Me gusta defender y pens… https://t.co/U5EMV0LfCi"
Zandramile26,"Planear, verificar, actuar...es tiempo de poner nuestro granito de arena en el #cambio social que tanto anhelamos. https://t.co/oYm1MaYmsZ"
TheScreamingDan,"Just thinking about how I saw @twinatlantic in Leeds back in February in a tiny, packed, sweaty venue. No one was w… https://t.co/3Hp4GpJSAK"
JMachadao25,"Oi gente, tutu pom? Não sei onde galera mora, mas nao existe mais isolamento social, nem ninguém ao meu redor faz m… https://t.co/B66zKMEgXb"
PuckmanBG,@waiboi @2enon64 @Puggymation @popkornkat @NoveltyMan1 @PRINCE_REDx @CozmoJam12 @RealAcm240 @huntertrongames… https://t.co/VBygouc9VD
geek4demet,"RT @_MinusHabens: Fight for equality, for social justice, fight for a real intersectional feminism. The road is long and bumpy and we can't…"
mslaurengregory,"🤬😢

Daisy Coleman's Mom Melinda Dies by Apparent Suicide 4 Months After Her Daughter's Death https://t.co/yRnFTZGvax via @Yahoo"
william_handel,"Mijn vader hart brak toen ik dit tegenkwam op social media.
Ik ken de vader persoonlijk en dit gun je geen ouder. D… https://t.co/OWD0LwB8NH"
ardorminjoon,why dont you go ahead and delete this bora or do you in fact think we're a bunch of children who need to be scolded… https://t.co/U76b8M4Nwb
owlgram,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
cenriquez23,"RT @RexChapman: Here’s a powerful scene from the @blackishabc season premiere. 

Please social distance. Wear a mask. Be a good teammate...…"
bmurphypointman,#freelance #freelancer #freelancing #affiliate Webtalk pays you for doing exactly what you do on social media! Just… https://t.co/jbhjAOqWKv
bichingui,"RT @KingkongRa: Jajajajajajaja
El Gobierno le recortó fondos a los ministerios de Salud, Desarrollo Social y Hábitat para atender el défici…"
badatsplatoon,RT @TheYearIs20BC: The Nintendo social media manager dropping a tweet https://t.co/aM17CzaSMp
Lucia05149332,@sologiuma Una bambina viziata che vende il nulla e sbatte il figlio minore sui social viene osannata da giornalist… https://t.co/cyQNyAF9cS
CommunistPingu,"RT @unlabour: .@jeremycorbyn never said the EHRC had overstated the problem of antisemitism, as claimed here by @jessicaelgot. 

He said th…"
kimgarst,Did you know this? I think this is a fascinating stat and something we should definitely keep in mind when posting… https://t.co/5YI5wWAcFS
prttyrecklwss,minhas amizades eram superficiais? sim mas pelo menos eu tinha vida social
konkamusa,@AndoveA @BradleyWhitford I agree with what you posted but that doesn’t refute the Biblical truth that God is conce… https://t.co/8pKnp9jQVF
khul_dan,"RT @Zaddy_Clinton: Fuel price hike 
Electricity tariff increase
High cost of living
VAT increase from 5% to 7.5%
Stamp duty
ASUU strike 10m…"
badgah_kain,RT @vonnaaa___: materialistic shit don’t move me... social media got y’all sooo brain washed til it’s sad 😭😭🤣🤣🤣
CharlieL_,"I know I have zero influence on social media, but shouldn’t this be the week that the #lambs  #lambily would want t… https://t.co/arwjpoeGwc"
Freedom194858,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
WRIMexico,Las empresas tienen un papel fundamental en la recuperación sostenible a través de inversiones verdes que no sólo c… https://t.co/Oyx2RjTim7
therealfeenxc,"RT @ATrumpest: Ffs...🤬🤬🤬🤬

Trump launches ‘despicable’ last-minute attack on Social Security with rule aiming to restrict disability benefi…"
HiImStrangely,hi im going to be a little bit more inactive on social media as i want to focus more on school and reorganizing my… https://t.co/hp5Odectq1
myeishiaJB,Sorry I don’t tell social media my business 😙
RogerBezanis,"RT @RogerBezanis: In California, the hub of
COVID BELIEVING INSANITY,
cities have learned that
if they open their own LOCAL
HEALTH DEPARTME…"
indiadepaz,"RT @InfiniteWaters: 2020 may be your best year yet; with a pandemic, lockdown, social distancing; nothing forced you more to work on yourse…"
Lena52446081,"RT @delucca: O país afundado na maior crise de saúde pública (e em breve econômica e social), beirando os 180 mil mortos por coronavírus, e…"
mary_prell,"RT @drdavidsamadi: People: “We’re having a light flu season because people are wearing masks and social distancing.”

Me: “Then why are the…"
Conicotine,jamás podría abandonar esta red social https://t.co/OGP3U3NFwf
bea_chamberlain,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
thesizecoach,@mansfield_fb My Social Media highlight of the week....awesomeness!
SocialistHeart,RT @noamchomskyT: The key element of social control is the strategy of distraction that is to divert public attention from important issues…
bmurphypointman,#twitter #tweet #post #retweet #repost All the tools you need for your content marketing operations for all channel… https://t.co/cGhNIfuyos
NGChez,RT @TheYearIs20BC: The Nintendo social media manager dropping a tweet https://t.co/aM17CzaSMp
KPopsicleLiz,I’m honestly tired of journalists shitting on brand managers as if there are not social media and marketing manager… https://t.co/MoRQN1weVd
Gelz68,"@michellemalkin This was at the Harlem and Irving Plaza in Norridge/Chicago, IL yesterday.  That was my cousin’s fr… https://t.co/ZA7Mgg3YnN"
PabloCGarabal,Empleo Público en Galicia: CONCELLO DE LALIN. Técnico de Integración Social. https://t.co/OiJgerqAkl
AlbertoTB37,"RT @MD_H0_DrAaronFC: Experimento social y este fue el resultado

Esto es lo que se está luchando a nivel mundial, la indiferencia mata y la…"
mchelldryjanski,"RT @drdavidsamadi: People: “We’re having a light flu season because people are wearing masks and social distancing.”

Me: “Then why are the…"
meanlene,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
JaredB44884546,"@tszd2020 @wang06614729 @xixi2020517 Your government is mafia. Thugs who instill order through fear. Social credit is scary, no?"
bookouture,"BUY TODAY! Aunt Ivy's Cottage: A totally gripping and emotional page turner by @KHarperAuthor 
Grab your copy here:… https://t.co/FDuOiNnRDj"
VctorHiguera4,RT @ve_cne: El Poder Electoral se reunió con representantes de las seis ONG que participan en este proceso electoral como veedores nacional…
igodoybt,RT @canalaquimera: Só consegui pensar na discussão do filme Coringa (2019) é um DIREITO SOCIAL existir tratamento gratuito para pessoas com…
slvrbllt7,RT @CAGOP: This 👇While @GavinNewsom talks about spending $80 million on billboards - social distance message.
itsdomgabri,That 5/25 year old man child all up and down the TL was prolly the most annoying time on social media in 2020 🤣
1gramjam,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
Dihna_B,"“The Trump administration could pull the rug out from millions of Americans, especially older Americans, in the wan… https://t.co/kVORHr6TLO"
bluedreamzx_,RT @Calvooo20: Once I start liking you I don’t find anything you put on social media funny no more thot ass bitch
nminniti,How to Best Use Social Media to Explore Neighborhoods https://t.co/CEk0Am9CwN https://t.co/eaGxagyr84
helenaconM,RT @literlandweb1: Nos ha llamado la atención esta carta publicada en un diario y escrita por un joven de 27 años. El valor de los abrazos…
Lalonadal,@MonicaMendozaM @Faby_Nava77 Yo le veo mil problemas: el primero es el borramiento ideológico. Que sería? un gobier… https://t.co/OKzREVlebn
mahlexa,RT @GovHawaii: RT @Hawaii_EMA: Mainland ICU capacities have dropped to dangerous levels and Hawai’i’s new COVID case numbers are creeping u…
FLBarTax,"RT @StateBarofGA: Let's talk Diversity, Equity, Inclusion and Social Justice! Join GDP on Thursday, Dec. 10, for the Annual Fall Learning L…"
fast_luck,RT @iSmashFizzle: somebody told me not to get the COVID 19 vaccine because that’s how the government gets your social security number. http…
CoachBossWins,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
mkl1987,♻️RT @CCTG@social.tchncs.de: Hi! This is @Bubu and @fynnDirect writing here to inform you about updates related to… https://t.co/KuTmtXsttp
imjustmulan,RT @dyrinone: Social media be getting to y’all head frfr
inseptumlucidum,"RT @cgtnenespanol: ¡Incluso Papá Noel debe mantener el distanciamiento social! Papá Noel saluda a los niños desde el interior de una ""burbu…"
WritersNetGuide,"Connect with Joy Publicity @JeanetteJoy Author &amp; @JoyPublicity
#JoYPublicity 
Offering Free Webinars, Entrepreneur… https://t.co/UaAeH6dpqW"
hemelricardo,"@FernandAubry @RBReich ALL hierarchies are pathologies, mental illness by another name, pyramid schemes. Why should… https://t.co/JXPZbUXVMz"
pepito_garca,"Teniendo ya el asesinato, la agresión y el fraude a la Seguridad Social, a Podemos le faltaba este perfil para comp… https://t.co/vOR0IAHRbA"
indierod,@maracuyada Experimento social
CarolSimas10,"RT @EstrelinhaB19: Admiro mt essas minas que vem em rede social dizendo que gosta de trabalhar, deixo bem claro a todos que eu não gosto de…"
Purrscilla1,"RT @catneylang: They arent social distancing, but the joestar radio episode has once again inspired me https://t.co/1zuMg97bzK"
Sudiba65,RT @donwinslow: 'The people have spoken': Federal judge rejects ex-Trump attorney Sidney Powell's Michigan election lawsuit https://t.co/HP…
jusshit74,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
GustavinSousaaa,"Me tornei oq eu mais temia, o anti social que só sai de fone"
meisey1933,RT @McRouvi: It’s no wonder #DoubleDealingDavid didn’t want to answer questions at a debate. Georgia needs real Senate representation  work…
meuvmin,"@lustdahyun vc tá no twitter agr, pra ajudar no top social é só fzr um tweet marcando o @ das meninas."
DailyMailUK,'Martin Bashir used forgery': New claim of skulduggery from Tony Martin's lawyer as BBC probes Diana scoop https://t.co/Zr8MhhOd7O
soy_marketing,"Parler, la nueva red social impulsada por los conservadores y promete no censurar como lo hacen Facebook y Twitter."
fthecesar,"RT @carapanarana: - não pode fazer isolamento social adequado 
- não tem rastreamento de contatos
- não pode usar máscara 
- e, agora não p…"
L1LSP1CY,RT @gnarsomeaylin: Spending less time on social media is so cleansing
AleinYellow,"Hice una página de Diseño en Facebook y le mande invitación a todo mi Facebook, y mi ex le dio like 😬😬😬 esa red social no es sana."
theotakubox,"Enjoy my content on every channel!
Be a part of the great Otaku Box community! 🙏🏻🥰

- https://t.co/BFxoutjBZ6 ✔️
-… https://t.co/b5D8VymBgJ"
Rojas02287282,"@SexoGratweeto A Esquerda agora tem uma dialética diferente, é Comunista nos meios de produção, Socialista Democrat… https://t.co/nsbEGiStdt"
sadtelite,hoy es un día dónde incomodo con mi presencia a lxs demás por presión social
alexander_gr,"RT @stratisplatform: Registrations for the Stratis 100,000 STRAX airdrop will open on Thursday, anyone will be able to enter by completing…"
ojosdegataaaaa,"necesito pillar un tren y pirarme d palma to lejos, conocer a peña nueva ns hacer vida social jajajaja"
elcadavermiente,Sin duda es el mejor indicador de debilidad mental que hay en esta red social. https://t.co/6Iv61e9rZq
jpedrot,RT @JewelStaite: Why is social media advertising fancy New Years Eve outfits to me?  Is this mockery now? Have the algorithms resorted to m…
Concern93672193,"RT @donwinslow: What a disaster of a person.

Arizona legislature shuts down after Rudy Giuliani's COVID-19 hospitalization https://t.co/Lk…"
MsGo,@ErichSBloodaxe @ChadAChavez @rustyrockets @McConaughey @hearluminary @ChadChavez I personally think capitalism as… https://t.co/GtPqQ5lES8
WSJ,White House trade adviser Peter Navarro knowingly violated the law when he criticized Joe Biden earlier this year o… https://t.co/GdbBYkvkm5
EdgarAllenOpe,RT @respawnedtarga1: “If it dont apply to u” is one of the 3 great gaslighting terms babes use in this social media kingdom
FreeMartinSmar1,The 5 Types of Social Media and Pros &amp; Cons of Each https://t.co/KD4vvHbjwV https://t.co/tcK3GtQtEL
marcflood,The 5 Types of Social Media and Pros &amp; Cons of Each https://t.co/3iDitGbMDF via @Hubspot #inboundmarketing… https://t.co/8T78WdkUqO
nurses_drawdown,The fight against climate change is all of our responsibilities. Uniting our communities to work towards a healthie… https://t.co/Q3s4ta8A6M
its_maximum,"RT @rapplerdotcom: This high school class is registered to vote for the 2022 elections! ✊

LOOK: Instead of a long test on the principles o…"
Andreagdam,"RT @alrc0_: Wey nunca me gustaste, q te haya rogado muchas veces solo fue un experimento social"
omniron,The 5 Types of Social Media and Pros &amp; Cons of Each https://t.co/xrq0wJakPN https://t.co/nFtnpn5s6H
KarenOl80067932,"RT @RBReich: I hear at least 6 workers at Amazon's Whole Foods warehouse in Industry City, Brooklyn have tested positive for COVID since Oc…"
dreaminbanks,"RT @WWEonFOX: Tomorrow, @TheWilderThings goes one-on-one with #SmackDown Women's Champion @SashaBanksWWE, at 4e/1p, across our social media…"
lindinaldol,#SP2 Muita gente preocupada com a vacina mas se esquece de fazer o básico: distanciamento social.
SimonDc98luz,"RT @mjtrezza1: ☀️
#Efemerides 
#7Dic del 2004 está vigente La Ley de Responsabilidad Social en Radio y Televisión v el 7 de diciembre de 20…"
elchico_negro,"But you guys erh...

If you're asking for someone's nudes erh, especially when you and the person haven't vibed for… https://t.co/1rBxv8uDRf"
MariluParreiras,"RT @delucca: O país afundado na maior crise de saúde pública (e em breve econômica e social), beirando os 180 mil mortos por coronavírus, e…"
StackDevJobs,"Project Execution - Infrastructure Services at JPMorgan Chase Bank, N.A (Tampa, FL) https://t.co/q5NVn31dCR #projectmanagement"
nana2qps,RT @McRouvi: It’s no wonder #DoubleDealingDavid didn’t want to answer questions at a debate. Georgia needs real Senate representation  work…
ThaboGeneral,"It's allowed to write anything on social media, as long as after your death, you can still be defined by what you w… https://t.co/r4LjItpWgW"
RicoGennero,@Rockets_Social Said i got mad right
Redwardostan,@Wesleydeaguayo2 @athie_gnome Ron was determined by a court to be a domestic abuser of women. Yet for all Athie's t… https://t.co/4FEe7cIboX
ribeiroisaakj,RT @oficialharielmc: Respeitem seus pais e suas mães que tão trabalhando aí pra paga a bosta da internet que vcs só usa pra fala merda e pa…
TheBurkeManor,"A little festive Christmas decor has made our ""social distancing"" dining rooms even more enjoyable .   #Christmas… https://t.co/O1AP9qH4mQ"
skapilot,Learning AOC and Ilhan are moderate fascists because they support social democracy today on my favorite website twitter
HunsdonJessica,@Heady_NJ Thank you for this reporting update. Can you point me to the letter sent to legislators by cannabis socia… https://t.co/1MN61TmCLI
iowhawk,RT @SenBlumenthal: Stephen Schwartz is the latest in a long line of extreme judicial nominees who want to undo protections for reproductive…
EduSalas26,RT @IgnacioAchurra: Miles de pequeños comerciantes que invirtieron todo para estas semanas se verán gravemente afectados ¿cómo el Estado lo…
AJ16059173,RT @MarkDice: Social Justice Warrior mall Santa makes kid cry by telling him no toy guns for Christmas https://t.co/u0lkM75lqC
MadelineDodges1,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
mimadks,"RT @iden_bbx: ⚠️Stage EJE⚠️
Étudiantes EJE en 2e année, je suis à la recherche d’un stage du 4 janvier au 6 mars. J’aimerai l’effectuer dan…"
healpulse,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
PetraIndustries,"What happens when a SIM-enabled plastic bottle takes a trip down the Ganges? Well, someone might find it and attemp… https://t.co/Dlxx1RFJ8i"
maakaylabreslin,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
Fizzah_a_b,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
vvshadow,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
peli_1982,RT @CitzRights: The Scottish Government has introduced new regulations that will prevent eviction orders being brought between 11 December…
the_MOtionzz,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
celticheart1225,RT @donwinslow: 'The people have spoken': Federal judge rejects ex-Trump attorney Sidney Powell's Michigan election lawsuit https://t.co/HP…
Evolutionfinte1,"Excelentes noticias! En breve estaremos estrenando nuestra red social de bitcoin y criptos p2p, haciendo a la democ… https://t.co/WmePfqHAP0"
CityofECEngin,"RT @NatGeo: Today the site of the December 7, 1941 attack is a symbol of service, science, and healing #PearlHarbor79 https://t.co/ZJcOkKqQ…"
Alexbrms,"RT @doctormacias: El término ""virginidad"" no es un término médico o científico.  Más bien, el concepto de “virginidad” es una construcción…"
schwingcat,RT @ThomasSowell: it is far easier to concentrate power than to concentrate knowledge. That is why so much social engineering backfires and…
murugen61,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
JESUSHE81835420,"RT @JESUSHE81835420: Tatiana Clouthier, la incondicional que acaba de llegar al equipo de AMLO donde solo piden lealtad a ciegas https://t.…"
_DimeOfficial,Don’t believe everything on social media. Muthafuckas say anything!
varonsan3,"RT @wilsonariasc: El oficialismo se apresura a pupitrear cuanto antes el proyecto de Ley 010, es tan nefasto que están maquillándolo de nue…"
GTL66,"RT @ennatuhun: Catalunya m’ha donat una família, un entorn social i una educació de qualitat. Em presento a les #primàries perquè tots ting…"
GodzillaFeet,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
SaraRavenQueen,"Last week, I was the social media manager managing the ""reboot"" accounts of the supposed WCW reboot, and not the EC… https://t.co/s3W9U1pqpW"
ventriom,"@resin_fb @Viperous kinda sad you kept replying to yourself with shit you want to flex, i don’t think you know how social media works lmaooo"
